nom_citoyen,prenom_citoyen,adresse,telephone,email,score_engagement_ecologique,preferences_mobilite
Hamdi,Samir,"124 Avenue de la Corniche, Sousse",+216 45 983 289,samir.hamdi@email.tn,169,"marche, transport en commun"
Ben Ahmed,Mehdi,"147 Avenue Léopold Senghor, Sousse",+216 68 901 210,mehdi.benahmed@email.tn,184,"vélo électrique, métro"
Bouazizi,Fares,"20 Rue de la République, Sousse",+216 64 930 589,fares.bouazizi@email.tn,287,"covoiturage, transport en commun"
Maalej,Tarek,"23 Avenue Léopold Senghor, Sousse",+216 79 253 352,tarek.maalej@email.tn,90,"voiture électrique, vélo"
Rezgui,Rami,"47 Boulevard du 7 Novembre, Sousse",+216 36 870 303,rami.rezgui@email.tn,242,"voiture électrique, vélo"
Bouazizi,Tarek,"38 Rue de la République, Sousse",+216 55 626 993,tarek.bouazizi@email.tn,104,"covoiturage, transport en commun"
Maalej,Ines,"84 Avenue Hedi Chaker, Sousse",+216 22 133 229,ines.maalej@email.tn,285,"vélo, transport en commun"
Bouazizi,Karim,"24 Avenue de la Corniche, Sousse",+216 40 629 391,karim.bouazizi@email.tn,58,"voiture électrique, vélo"
Slimani,Fatma,"123 Avenue Habib Bourguiba, Sousse",+216 64 865 616,fatma.slimani@email.tn,76,"marche, transport en commun"
Ferchichi,Samira,"19 Avenue de la Corniche, Sousse",+216 57 976 248,samira.ferchichi@email.tn,106,"marche, vélo"
Slimani,Ahmed,"60 Rue Tahar Sfar, Sousse",+216 76 885 863,ahmed.slimani@email.tn,199,"covoiturage, transport en commun"
Ferchichi,Mohamed,"22 Avenue Hedi Chaker, Sousse",+216 89 630 852,mohamed.ferchichi@email.tn,225,"trottinette électrique, bus"
Gharbi,Samira,"74 Avenue Hedi Chaker, Sousse",+216 93 648 466,samira.gharbi@email.tn,286,transport en commun uniquement
Maalej,Hana,"142 Avenue de la Corniche, Sousse",+216 25 717 137,hana.maalej@email.tn,76,"covoiturage, transport en commun"
Bouazizi,Mehdi,"133 Rue de la République, Sousse",+216 41 108 367,mehdi.bouazizi@email.tn,246,"voiture électrique, vélo"
Maalej,Amira,"69 Rue du 2 Mars, Sousse",+216 33 942 507,amira.maalej@email.tn,231,"marche, transport en commun"
Sassi,Olfa,"129 Rue Tahar Sfar, Sousse",+216 92 531 446,olfa.sassi@email.tn,123,transport en commun uniquement
Bouazizi,Fatma,"80 Rue Tahar Sfar, Sousse",+216 64 833 225,fatma.bouazizi@email.tn,286,"vélo, transport en commun"
Ben Ahmed,Samira,"118 Avenue Habib Bourguiba, Sousse",+216 44 184 831,samira.benahmed@email.tn,203,"trottinette électrique, bus"
Trabelsi,Ines,"73 Avenue de la Corniche, Sousse",+216 25 688 790,ines.trabelsi@email.tn,257,transport en commun uniquement
Hamdi,Rim,"93 Rue Tahar Sfar, Sousse",+216 66 701 409,rim.hamdi@email.tn,87,"marche, vélo"
Rezgui,Tarek,"48 Rue de la République, Sousse",+216 63 360 193,tarek.rezgui@email.tn,234,"vélo électrique, métro"
Jebali,Rami,"95 Rue Amilcar, Sousse",+216 37 754 503,rami.jebali@email.tn,242,"voiture électrique, vélo"
Jebali,Youssef,"133 Boulevard du 7 Novembre, Sousse",+216 52 752 694,youssef.jebali@email.tn,235,"covoiturage, transport en commun"
Chaabane,Leila,"120 Rue Tahar Sfar, Sousse",+216 75 953 953,leila.chaabane@email.tn,137,transport en commun uniquement
Maalej,Leila,"20 Avenue Habib Bourguiba, Sousse",+216 84 293 836,leila.maalej@email.tn,236,"marche, transport en commun"
Rezgui,Leila,"136 Boulevard du 7 Novembre, Sousse",+216 33 206 230,leila.rezgui@email.tn,177,"marche, vélo"
Slimani,Nabil,"120 Avenue de la Corniche, Sousse",+216 51 791 906,nabil.slimani@email.tn,201,"covoiturage, transport en commun"
Ferchichi,Ines,"70 Rue Amilcar, Sousse",+216 97 416 938,ines.ferchichi@email.tn,165,"vélo électrique, métro"
Trabelsi,Rim,"112 Avenue Hedi Chaker, Sousse",+216 29 886 873,rim.trabelsi@email.tn,260,"vélo, transport en commun"
Jebali,Mehdi,"127 Rue de la République, Sousse",+216 21 787 279,mehdi.jebali@email.tn,78,"marche, transport en commun"
